iter	MultiClass
0	0.7364340205
1	0.4988147002
2	0.4326386424
3	0.3611249293
4	0.2968249074
5	0.2174837205
6	0.1827225786
7	0.1611478051
8	0.1392886339
9	0.1188649476
10	0.1052441788
11	0.09204218939
12	0.08597862997
13	0.0816674085
14	0.07200171524
15	0.06742240195
16	0.06187014125
17	0.05630535588
18	0.05149784804
19	0.04731720838
20	0.04465919693
21	0.04289653343
22	0.04000831867
23	0.03709421382
24	0.03533745455
25	0.03332435543
26	0.03182331196
27	0.03040339216
28	0.02915309116
29	0.02820940773
30	0.02704307303
31	0.02592953798
32	0.02490314252
33	0.02413395831
34	0.02329022077
35	0.02246344957
36	0.02169585369
37	0.02091674331
38	0.02033610161
39	0.0198421095
40	0.01919093824
41	0.01873209727
42	0.01816712962
43	0.01759018327
44	0.01723677725
45	0.01682174167
46	0.01618642357
47	0.01582652104
48	0.01547553673
49	0.01506284299
50	0.01478726491
51	0.01450614943
52	0.01411383118
53	0.01367633451
54	0.01330376466
55	0.0129669054
56	0.012706733
57	0.01248170312
58	0.0122525843
59	0.01198093957
60	0.01175262656
61	0.01156103191
62	0.01132300584
63	0.01113851172
64	0.010951863
65	0.01075922272
66	0.01054697867
67	0.01041302192
68	0.01020650802
69	0.01003809362
70	0.009879030225
71	0.009747384294
72	0.009652616538
73	0.009503722544
74	0.009357380213
75	0.009265824109
76	0.009133771397
77	0.008967204506
78	0.008823767609
79	0.008716558818
80	0.008599253857
81	0.008496335795
82	0.008403680049
83	0.00832702141
84	0.008220576696
85	0.008116696728
86	0.008028547379
87	0.00790842046
88	0.007804676563
89	0.007694458696
90	0.007623100404
91	0.00755147879
92	0.007464770002
93	0.007394530262
94	0.007317224607
95	0.007255938063
96	0.007171708176
97	0.007111173589
98	0.007010782065
99	0.00693802637
