iter	Passed	Remaining
0	1	135
1	2	113
2	3	110
3	4	109
4	5	107
5	6	104
6	7	102
7	9	106
8	10	107
9	11	105
10	12	103
11	13	101
12	15	100
13	16	99
14	17	98
15	18	96
16	19	94
17	20	92
18	21	90
19	22	88
20	23	87
21	24	88
22	25	86
23	26	85
24	27	83
25	28	82
26	29	81
27	30	78
28	31	78
29	32	76
30	34	76
31	36	76
32	37	76
33	40	78
34	42	78
35	43	77
36	44	76
37	45	74
38	46	73
39	48	72
40	49	71
41	51	70
42	52	69
43	54	69
44	56	68
45	58	68
46	59	66
47	60	65
48	61	63
49	62	62
50	63	60
51	64	59
52	65	58
53	66	56
54	67	55
55	68	54
56	70	52
57	71	51
58	72	50
59	73	48
60	74	47
61	75	46
62	76	45
63	77	43
64	78	42
65	79	41
66	81	39
67	82	38
68	83	37
69	84	36
70	85	35
71	87	33
72	88	32
73	89	31
74	90	30
75	91	29
76	93	27
77	94	26
78	95	25
79	96	24
80	98	23
81	99	21
82	100	20
83	101	19
84	103	18
85	104	16
86	105	15
87	106	14
88	107	13
89	108	12
90	109	10
91	110	9
92	111	8
93	112	7
94	114	6
95	115	4
96	116	3
97	118	2
98	119	1
99	120	0
